Wavelength (e-7m),Intensity (a.u.)
3.501,2.00E+04
3.512,8.00E+04
3.526,5.31E+06
3.553,9.13E+06
3.581,1.81E+07
3.61,3.11E+07
3.639,4.18E+07
3.668,5.48E+07
3.698,7.16E+07
3.728,7.66E+07
3.759,7.71E+07
3.791,9.84E+07
3.822,1.35E+08
3.855,1.55E+08
3.887,1.46E+08
3.921,1.28E+08
3.955,1.20E+08
4.025,1.17E+08
4.061,1.19E+08
4.098,5.23E+07
4.153,7.18E+07
4.192,8.79E+07
4.231,1.09E+08
4.29085,1.83E+08
4.332,3.86E+08
4.373,4.41E+08
4.416,8.44E+08
4.459,1.75E+09
4.503,2.85E+09
4.55,3.62E+09
4.594,3.66E+09
4.641,2.94E+09
4.689,1.95E+09
4.738,1.42E+09
4.788,1.22E+09
4.839,9.37E+08
4.891,7.42E+08
4.944,8.24E+08
4.998,9.61E+08
5.054,1.01E+09
5.11,1.01E+09
5.169,1.06E+09
5.228,1.17E+09
5.289,1.33E+09
5.351,1.37E+09
5.415,1.36E+09
5.48,1.54E+09
5.547,1.78E+09
5.615,1.56E+09
5.685,1.52E+09
5.757,2.00E+09
5.831,2.23E+09
5.907,1.86E+09
5.985,1.71E+09
6.064,1.85E+09
6.146,1.84E+09
6.23,1.50E+09
6.317,1.11E+09
6.406,9.24E+08
6.496,8.15E+08
6.592,4.28E+08
6.689,2.89E+08
6.788,3.09E+08
6.944,8.11E+07
7.052,8.14E+07
7.163,1.05E+08
7.277,2.21E+08
7.396,2.30E+08
7.5,1.88E+08
